domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
english.khabarhub.com,0.02472858338242954,0.10821827133256373,0.36522872426718583,0.22007323708511436,13.0
abcnews.go.com,0.08699980574980574,0.23448644740570426,0.3220883838383838,0.25437354684075747,10.0
www.thestar.com.my,0.04113946238946239,0.09525658001055576,0.3513428084261418,0.12787944771819784,9.0
www.abc.net.au,-0.04433209647495362,0.050505138778377964,0.2409083178726036,0.13017785483802424,7.0
www.yahoo.com,0.003649376417233563,0.08446780234119754,0.36340702947845804,0.25131373183680145,7.0
www.aljazeera.com,0.01767676767676767,0.23897098553028095,0.3047029822029822,0.11932443137047725,6.0
www.bbc.com,0.008593750000000004,0.13781627923767448,0.38869791666666664,0.4299998107436599,4.0
journals.plos.org,0.14597222222222223,0.2120085093214217,0.407797619047619,0.2201907177698185,4.0
nep123.com,0.11098958333333335,0.18759838275370488,0.6613318452380953,0.2229447623792714,4.0
economictimes.indiatimes.com,-0.014947916666666655,0.27348744252902146,0.3496354166666667,0.1754638672806023,4.0
www.the-independent.com,0.06416666666666666,0.05354990749378184,0.2660416666666667,0.10008590060542992,4.0
www.ibtimes.com,-0.1058922558922559,0.1536250402590424,0.24772727272727274,0.14684571220792927,4.0
www.nbcnews.com,0.0747979797979798,0.09653246521094291,0.5527922077922077,0.09470300042639714,3.0
www.foxnews.com,0.10454545454545455,0.26281219137225026,0.4348484848484849,0.030265127811269957,3.0
lithub.com,0.045779220779220774,0.05898109533584773,0.27640692640692643,0.23982088151130715,3.0
www.independent.ie,-0.1700925925925926,0.13481134890742205,0.2613888888888889,0.13839439749953483,3.0
www.irishtimes.com,-0.02335317460317461,0.15958838792963714,0.48380952380952386,0.1424860258891943,3.0
nypost.com,-0.04349747474747475,0.1084197732950633,0.39204545454545453,0.11763848978610351,3.0
www.cbsnews.com,0.07939814814814815,0.05276102316903664,0.316005291005291,0.014592890904018689,3.0
www.bostonherald.com,0.10787037037037035,0.19979896017146012,0.22731481481481483,0.14330704252134294,3.0
www.forbes.com,0.073015873015873,0.14461876799864254,0.3986772486772487,0.09044253527952811,3.0
www.hurriyetdailynews.com,0.013888888888888886,0.01964185503295965,0.39444444444444443,0.20427529234278038,2.0
consequence.net,0.153125,0.20771261697354837,0.33958333333333335,0.2504336516702356,2.0
www.cnbc.com,0.275,0.03535533905932739,0.46499999999999997,0.021213203435596385,2.0
www.cbc.ca,0.0607142857142857,0.10943319232648949,0.48511904761904756,0.1675169636382416,2.0
www.politico.eu,0.215625,0.04861359120657513,0.5487847222222222,0.07684875781645471,2.0
www.dw.com,-0.006249999999999992,0.13258252147247765,0.3898809523809524,0.0614509464602595,2.0
www.msnbc.com,0.09626984126984128,0.04972195302629216,0.6565873015873015,0.04568134284808327,2.0
financialpost.com,0.002678571428571434,0.02146574157173449,0.2839285714285714,0.11869292398488475,2.0
freerepublic.com,-0.10000000000000002,0.14142135623730953,0.25,0.0707106781186548,2.0
timesofindia.indiatimes.com,-0.005333333333333336,0.0075424723326565106,0.1386666666666667,0.1961042806490692,2.0
indianexpress.com,8.673617379884035e-19,0.014142135623730954,0.28,0.1131370849898476,2.0
slashdot.org,-0.040208333333333346,0.028578899072956288,0.34,0.056568542494923775,2.0
www.thejournal.ie,0.023518518518518515,0.00209513120351569,0.43527777777777776,0.15595632896169967,2.0
www.newscientist.com,0.0,1.0,0.0,1.0,1.0
www.nakedcapitalism.com,0.0,1.0,0.0,1.0,1.0
www.wpxi.com,0.0,1.0,0.0,1.0,1.0
www.nature.com,0.0,1.0,0.0,1.0,1.0
www.wnd.com,0.0,1.0,0.0,1.0,1.0
www.wimp.com,0.0,1.0,0.0,1.0,1.0
www.vox.com,0.0,1.0,0.0,1.0,1.0
www.ndtvprofit.com,0.0,1.0,0.0,1.0,1.0
www.tmz.com,0.0,1.0,0.0,1.0,1.0
www.salon.com,0.0,1.0,0.0,1.0,1.0
deadline.com,0.0,1.0,0.0,1.0,1.0
www.spin.com,0.0,1.0,0.0,1.0,1.0
www.nplusonemag.com,0.0,1.0,0.0,1.0,1.0
www.npr.org,0.0,1.0,0.0,1.0,1.0
www.patheos.com,0.0,1.0,0.0,1.0,1.0
www.thehindubusinessline.com,0.0,1.0,0.0,1.0,1.0
www.pbs.org,0.0,1.0,0.0,1.0,1.0
www.theatlantic.com,0.0,1.0,0.0,1.0,1.0
www.rt.com,0.0,1.0,0.0,1.0,1.0
www.mentalfloss.com,0.0,1.0,0.0,1.0,1.0
