,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Philippines,Philippines,GPE,-0.04651754,0.49869807,en,28.10000000,,-1,,,,,,
Indonesia,Indonesia,GPE,-0.17842451,0.20436811,en,26.20000000,,-1,,,,,,
Vietnam,Vietnam,GPE,-0.01788991,0.51628440,en,10.90000000,,-1,,,,,,
Central Java,Central Java,GPE,-0.03891941,0.32051282,en,9.10000000,,-1,,,,,,
China,China,GPE,0.05006048,0.75786383,en,6.80000000,,-1,,,,,,
Jamaica,Jamaica,GPE,-0.34467120,2.07936508,en,4.90000000,,-1,,,,,,
Java island,Java island,LOC,-0.09420290,0.18750000,en,4.60000000,,-1,,,,,,
MANILA,MANILA,GPE,-0.17117117,0.50641026,en,3.70000000,,-1,,,,,,
HANOI,HANOI,GPE,-0.00675676,0.41554054,en,3.70000000,,-1,,,,,,
Caribbean,Caribbean,LOC,-0.04642857,1.02142857,en,3.50000000,,-1,,,,,,
Mexico,Mexico,GPE,-0.70273693,5.84803922,en,3.40000000,,-1,,,,,,
India,India,GPE,0.25914316,0.65308255,en,2.90000000,,-1,,,,,,
NEW DELHI,NEW DELHI,GPE,0.13852814,0.30303030,en,2.80000000,,-1,,,,,,
Cuba,Cuba,GPE,-0.90277778,1.77469136,en,2.70000000,,-1,,,,,,
B.C.,B.C.,GPE,0.03846154,0.53846154,en,2.60000000,,-1,,,,,,
Haiti,Haiti,GPE,-0.93333333,1.61000000,en,2.50000000,,-1,,,,,,
Argentina,Argentina,GPE,0.82608696,1.05072464,en,2.30000000,,-1,,,,,,
Ireland,Ireland,GPE,0.43446970,1.11818182,en,2.20000000,,-1,,,,,,
Scotland,Scotland,GPE,-0.18181818,0.00000000,en,2.20000000,,-1,,,,,,
the Kaligandaki Corridor,the Kaligandaki Corridor,LOC,-0.02876984,1.51190476,en,2.10000000,,-1,,,,,,
Tanzania,Tanzania,GPE,-0.07430556,2.22916667,en,2.00000000,,-1,,,,,,
Italy,Italy,GPE,-0.10526316,0.02631579,en,1.90000000,,-1,,,,,,
Andhra Pradesh,Andhra Pradesh,GPE,-0.13157895,0.46491228,en,1.90000000,,-1,,,,,,
West Java,West Java,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Sukabumi District,Sukabumi District,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
earth,earth,LOC,-0.10526316,0.02631579,en,1.90000000,,-1,,,,,,
Cincinnati,Cincinnati,GPE,0.00000000,0.00000000,en,1.90000000,,-1,,,,,,
Sichuan province,Sichuan province,GPE,-0.04037081,0.35994817,en,1.90000000,,-1,,,,,,
Colombia,Colombia,GPE,-0.03508772,0.31871345,en,1.90000000,,-1,,,,,,
Java,Java,LOC,-0.13157895,0.21710526,en,1.90000000,,-1,,,,,,
Koolan Island,Koolan Island,GPE,-0.02631579,0.23684211,en,1.90000000,,-1,,,,,,
Dublin,Dublin,GPE,0.00000000,0.02631579,en,1.90000000,,-1,,,,,,
ROME,ROME,GPE,-0.14035088,0.19298246,en,1.90000000,,-1,,,,,,
Baglung Municipality-10,Baglung Municipality-10,GPE,-0.04934211,0.72368421,en,1.90000000,,-1,,,,,,
