,phrase,label,sentiment,subjectivity,language,count
two,two,CARDINAL,,,en,28.499999999999986
Monday,Monday,DATE,,,en,25.69999999999999
Thursday,Thursday,DATE,,,en,19.199999999999996
21,21,CARDINAL,,,en,18.6
Friday,Friday,DATE,,,en,17.900000000000002
Sunday,Sunday,DATE,,,en,15.200000000000003
three,three,CARDINAL,,,en,14.200000000000003
first,first,ORDINAL,,,en,13.300000000000002
Saturday,Saturday,DATE,,,en,11.000000000000002
30,30,CARDINAL,,,en,10.100000000000001
last week,last week,DATE,,,en,9.900000000000002
one,one,CARDINAL,,,en,9.400000000000002
five,five,CARDINAL,,,en,8.900000000000002
26,26,CARDINAL,,,en,8.900000000000002
Kenyan,Kenyan,NORP,,,en,8.600000000000001
2,2,CARDINAL,,,en,8.3
at least 18,at least 18,CARDINAL,,,en,8.200000000000001
618,618,CARDINAL,,,en,8.200000000000001
four,four,CARDINAL,,,en,8.100000000000001
Tuesday,Tuesday,DATE,,,en,7.300000000000002
Two,Two,CARDINAL,,,en,7.200000000000001
Democrat,Democrat,NORP,,,en,7.1
12,12,CARDINAL,,,en,6.4
six,six,CARDINAL,,,en,6.4
at least two,at least two,CARDINAL,,,en,6.4
Malaysian,Malaysian,NORP,,,en,6.4
2025,2025,CARDINAL,,,en,5.900000000000001
Indonesian,Indonesian,NORP,,,en,5.5
23,23,CARDINAL,,,en,5.5
1.4 million,1.4 million,CARDINAL,,,en,5.5
Three,Three,CARDINAL,,,en,5.5
50,50,CARDINAL,,,en,4.7
Hongqi Bridge,Hongqi Bridge,FAC,,,en,4.6
more than a million,more than a million,CARDINAL,,,en,4.6
at least four,at least four,CARDINAL,,,en,4.6
Sri Lankan,Sri Lankan,NORP,,,en,4.6
days,days,DATE,,,en,4.6
Malaysians,Malaysians,NORP,,,en,4.6
dozens,dozens,CARDINAL,,,en,4.300000000000001
today,today,DATE,,,en,3.8
11,11,CARDINAL,,,en,3.8
night,night,TIME,,,en,3.7
a day,a day,DATE,,,en,3.6999999999999997
19,19,CARDINAL,,,en,3.6999999999999997
A year,A year,DATE,,,en,3.6999999999999997
55,55,CARDINAL,,,en,3.6999999999999997
Nitish,Nitish,NORP,,,en,3.6999999999999997
More than two million,More than two million,CARDINAL,,,en,3.6999999999999997
28,28,CARDINAL,,,en,3.6999999999999997
18,18,CARDINAL,,,en,3.6999999999999997
Nov 28,Nov 28,DATE,,,en,3.6999999999999997
One,One,CARDINAL,,,en,3.6999999999999997
at least eight,at least eight,CARDINAL,,,en,3.6999999999999997
hundreds,hundreds,CARDINAL,,,en,3.6999999999999997
Nov 27,Nov 27,DATE,,,en,3.6999999999999997
more than 1.4 million,more than 1.4 million,CARDINAL,,,en,3.6999999999999997
at least 21,at least 21,CARDINAL,,,en,3.6
a fall earlier this year,a fall earlier this year,DATE,,,en,3.4000000000000004
5,5,CARDINAL,,,en,3.3000000000000003
evening,evening,TIME,,,en,3.3
Wednesday,Wednesday,DATE,,,en,3.2000000000000006
Hurricane Melissa,Hurricane Melissa,EVENT,,,en,3.100000000000002
thousands,thousands,CARDINAL,,,en,3.1
Republicans,Republicans,NORP,,,en,3.0
4,4,CARDINAL,,,en,2.9
16,16,CARDINAL,,,en,2.8
at least 11,at least 11,CARDINAL,,,en,2.8
22,22,CARDINAL,,,en,2.8
seven,seven,CARDINAL,,,en,2.8
229,229,CARDINAL,,,en,2.8
Himalayan,Himalayan,NORP,,,en,2.8
"11,000","11,000",CARDINAL,,,en,2.8
303,303,CARDINAL,,,en,2.8
10th,10th,ORDINAL,,,en,2.8
Epirus,Epirus,NORP,,,en,2.8
Irish,Irish,NORP,,,en,2.8
8,8,CARDINAL,,,en,2.8
eight,eight,CARDINAL,,,en,2.8
afternoon,afternoon,TIME,,,en,2.8
Dec 3,Dec 3,DATE,,,en,2.8
Five,Five,CARDINAL,,,en,2.8
450,450,CARDINAL,,,en,2.8
the weekend,the weekend,DATE,,,en,2.8
6,6,CARDINAL,,,en,2.8
one-year,one-year,DATE,,,en,2.8
the week,the week,DATE,,,en,2.8
nearly 10 percent,nearly 10 percent,PERCENT,,,en,2.8
2020,2020,DATE,,,en,2.8
Oct 31,Oct 31,DATE,,,en,2.8
74,74,DATE,,,en,2.7
nearly two dozen,nearly two dozen,CARDINAL,,,en,2.7
112,112,CARDINAL,,,en,2.5999999999999996
25,25,CARDINAL,,,en,2.3000000000000003
last week's,last week's,DATE,,,en,2.1
3,3,CARDINAL,,,en,2.1
last weeks,last weeks,DATE,,,en,2.1
64,64,CARDINAL,,,en,2.000000000000001
the day,the day,DATE,,,en,1.9000000000000001
6pm this Saturday,6pm this Saturday,TIME,,,en,1.9
this morning,this morning,TIME,,,en,1.9
Oct 23,Oct 23,DATE,,,en,1.9
countrys,countrys,NORP,,,en,1.9
13,13,CARDINAL,,,en,1.9
half,half,CARDINAL,,,en,1.9
morning,morning,TIME,,,en,1.9
election day,election day,DATE,,,en,1.9
17,17,CARDINAL,,,en,1.9
Shyok,Shyok,NORP,,,en,1.9
about four kilometres,about four kilometres,QUANTITY,,,en,1.9
last year,last year,DATE,,,en,1.9
last month,last month,DATE,,,en,1.9
49,49,CARDINAL,,,en,1.9
69,69,CARDINAL,,,en,1.9
Old Railway Yard Road,Old Railway Yard Road,FAC,,,en,1.9
Karnali Corridor Project,Karnali Corridor Project,FAC,,,en,1.9
Nearly 700,Nearly 700,CARDINAL,,,en,1.9
early Wednesday,early Wednesday,DATE,,,en,1.9
"December 12, 1897","December 12, 1897",DATE,,,en,1.9
Nov 23,Nov 23,DATE,,,en,1.9
"December 12, 2019","December 12, 2019",DATE,,,en,1.9
nearly 30 years,nearly 30 years,DATE,,,en,1.9
59.5%,59.5%,PERCENT,,,en,1.9
40.5%,40.5%,PERCENT,,,en,1.9
Dec. 9,Dec. 9,DATE,,,en,1.9
"22,142","22,142",CARDINAL,,,en,1.9
24,24,CARDINAL,,,en,1.9
"15,097","15,097",CARDINAL,,,en,1.9
Siletz,Siletz,PRODUCT,,,en,1.9
Colorgate,Colorgate,WORK_OF_ART,,,en,1.9
Nov 24,Nov 24,DATE,,,en,1.9
Italian,Italian,NORP,,,en,1.9
Around 400,Around 400,CARDINAL,,,en,1.9
2018,2018,DATE,,,en,1.9
British,British,NORP,,,en,1.9
"the night of November 13, 1985","the night of November 13, 1985",TIME,,,en,1.9
earlier this year,earlier this year,DATE,,,en,1.9
Indian,Indian,NORP,,,en,1.9
Sunday evening,Sunday evening,TIME,,,en,1.9
JAKARTA,JAKARTA,WORK_OF_ART,0.17324561403508773,0.4736842105263158,en,1.9
the fifth day,the fifth day,DATE,,,en,1.9
Nov. 17,Nov. 17,DATE,,,en,1.9
a dozen,a dozen,CARDINAL,,,en,1.9
Vlasic,Vlasic,PRODUCT,0.6,0.8,en,1.9
Ukrainian,Ukrainian,NORP,,,en,1.9
Nov 20,Nov 20,DATE,,,en,1.9
Ecuadorian,Ecuadorian,NORP,,,en,1.9
82.3%,82.3%,PERCENT,,,en,1.9
150,150,CARDINAL,,,en,1.9
November 23,November 23,DATE,,,en,1.9
this weekend,this weekend,DATE,,,en,1.8
the last six months,the last six months,DATE,,,en,1.8
at least 10,at least 10,CARDINAL,,,en,1.8
More than 40,More than 40,CARDINAL,,,en,1.8
Wildwood Road,Wildwood Road,FAC,,,en,1.8
Muglin,Muglin,NORP,0.0925925925925926,0.7037037037037036,en,1.8
the Prithvi Highway,the Prithvi Highway,FAC,,,en,1.8
last night,last night,TIME,,,en,1.8
at least three dozen,at least three dozen,CARDINAL,,,en,1.8
National Highway 4D,National Highway 4D,FAC,,,en,1.8
the O Quy Ho Pass,the O Quy Ho Pass,FAC,,,en,1.8
Sa Pa Ward,Sa Pa Ward,FAC,,,en,1.8
34,34,CARDINAL,,,en,1.7
6 am this morning,6 am this morning,TIME,,,en,1.7
the Hetauda-Kathmandu road,the Hetauda-Kathmandu road,FAC,,,en,1.7
The BP Highway,The BP Highway,FAC,,,en,1.7
Thousands,Thousands,CARDINAL,,,en,1.7
ten,ten,CARDINAL,,,en,1.7
Kagbeni,Kagbeni,NORP,,,en,1.7
three days,three days,DATE,,,en,1.7
Democrats,Democrats,NORP,,,en,1.6000000000000005
Tanzanian,Tanzanian,NORP,,,en,1.5000000000000004
Mexican,Mexican,NORP,,,en,1.5000000000000004
65,65,CARDINAL,,,en,1.4000000000000004
last week’s,last week’s,DATE,,,en,1.3000000000000003
a year,a year,DATE,,,en,1.3000000000000003
2024,2024,DATE,,,en,1.3000000000000003
This year,This year,DATE,,,en,1.3000000000000003
November,November,DATE,,,en,1.2000000000000002
Democratic,Democratic,NORP,,,en,1.2000000000000002
Catholic,Catholic,NORP,,,en,1.2000000000000002
Nepali,Nepali,NORP,,,en,1.2000000000000002
Halloween,Halloween,DATE,,,en,1.2000000000000002
Today,Today,DATE,,,en,1.2000000000000002
Nazis,Nazis,NORP,,,en,1.2000000000000002
October 29,October 29,DATE,,,en,1.2000000000000002
Rabbi,Rabbi,NORP,,,en,1.2000000000000002
at least dozens,at least dozens,CARDINAL,,,en,1.2000000000000002
Dozens,Dozens,CARDINAL,,,en,1.2000000000000002
fourth,fourth,ORDINAL,,,en,1.2000000000000002
Jews,Jews,NORP,,,en,1.1
Argentine,Argentine,NORP,,,en,1.1
Chinese,Chinese,NORP,,,en,1.1
more than 97%,more than 97%,PERCENT,,,en,1.1
PM,PM,TIME,,,en,1.1
the past week,the past week,DATE,,,en,1.1
this week,this week,DATE,,,en,1.1
Nov 7,Nov 7,DATE,,,en,1.1
Dutch,Dutch,NORP,,,en,1.1
60,60,CARDINAL,,,en,1.1
the weeks,the weeks,DATE,,,en,1.1
Kaligandaki Corridor,Kaligandaki Corridor,FAC,,,en,1.1
Jan. 6,Jan. 6,DATE,,,en,1.1
Jewish,Jewish,NORP,,,en,1.1
two years ago,two years ago,DATE,,,en,1.1
September,September,DATE,,,en,1.1
second,second,ORDINAL,,,en,1.1
Fifteen minutes,Fifteen minutes,TIME,,,en,1.1
2026,2026,DATE,,,en,1.1
an end this week,an end this week,DATE,,,en,1.1
January 2024,January 2024,DATE,,,en,1.1
"292,000","292,000",MONEY,,,en,1.1
35th,35th,ORDINAL,,,en,1.1
three years,three years,DATE,,,en,1.1
annual,annual,DATE,,,en,1.1
just hours,just hours,TIME,,,en,1.1
185mph,185mph,QUANTITY,,,en,1.1
one-half,one-half,CARDINAL,,,en,1.1
twelve,twelve,CARDINAL,,,en,1.1
64 Monday,64 Monday,DATE,,,en,1.1
American,American,NORP,,,en,1.1
This week,This week,DATE,,,en,1.1
the Lasti-Beni,the Lasti-Beni,FAC,,,en,1.1
October,October,DATE,,,en,1.1
Nov 12,Nov 12,DATE,,,en,1.1
Nazi,Nazi,NORP,,,en,1.1
decades,decades,DATE,,,en,1.1
Virginians,Virginians,NORP,,,en,1.1
60%,60%,PERCENT,,,en,1.0
Ecuadorians,Ecuadorians,NORP,,,en,1.0
Australian,Australian,NORP,,,en,1.0
Conservatives,Conservatives,NORP,,,en,1.0
+3534,+3534,NORP,,,en,1.0
recent weeks,recent weeks,DATE,,,en,1.0
several days last week,several days last week,DATE,,,en,1.0
Over 60%,Over 60%,PERCENT,,,en,1.0
11/20/2025 10:48:18 AM PST,11/20/2025 10:48:18 AM PST,TIME,,,en,1.0
the past five years,the past five years,DATE,,,en,1.0
73 percent,73 percent,PERCENT,,,en,1.0
"some 100,000","some 100,000",CARDINAL,,,en,1.0
tenth,tenth,ORDINAL,,,en,1.0
iOS 26,iOS 26,PRODUCT,,,en,1.0
202,202,CARDINAL,,,en,1.0
"2025 12:01 AM
 ","2025 12:01 AM
 ",TIME,,,en,1.0
243,243,CARDINAL,,,en,1.0
129,129,CARDINAL,,,en,1.0
The post,The post,DATE,,,en,1.0
2019,2019,DATE,,,en,1.0
Liquid Glass,Liquid Glass,PRODUCT,,,en,1.0
Three weeks,Three weeks,DATE,,,en,1.0
16s,16s,CARDINAL,,,en,1.0
Blacktopping Begins on Key Section of Kaligandaki Corridor,Blacktopping Begins on Key Section of Kaligandaki Corridor,WORK_OF_ART,,,en,1.0
At least 2,At least 2,CARDINAL,,,en,1.0
Nov 14,Nov 14,DATE,,,en,1.0
eight years,eight years,DATE,,,en,1.0
nine,nine,CARDINAL,,,en,1.0
Nevado del Ruiz,Nevado del Ruiz,FAC,,,en,1.0
several weeks,several weeks,DATE,,,en,1.0
40 years,40 years,DATE,,,en,1.0
Sunday November 2,Sunday November 2,DATE,,,en,1.0
Hundreds,Hundreds,CARDINAL,,,en,1.0
the year 2025,the year 2025,DATE,,,en,1.0
