,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
AP,AP,ORG,0.0390017361111111,0.2955729166666667,en,16,,,,,,
House,House,ORG,0.02930495430495431,0.18231721981721982,en,9,,,,,,
Reuters,Reuters,ORG,0.052604166666666674,0.30503472222222217,en,8,,,,,,
NDA,NDA,ORG,0.076010101010101,0.17929292929292928,en,6,,,,,,
Trump,Trump,ORG,0.3027777777777778,0.5493055555555556,en,6,,,,,,
Super Typhoon Fung-wong,Super Typhoon Fung-wong,ORG,0.2511904761904762,0.4464285714285714,en,4,,,,,,
Congress,Congress,ORG,0.15,0.14791666666666667,en,4,,,,,,
The Independent,The Independent,ORG,0.05416666666666667,0.19062500000000002,en,4,,,,,,
Big Tech,Big Tech,ORG,0.05416666666666667,0.19062500000000002,en,4,,,,,,
MYAGDI,MYAGDI,ORG,-0.03125,0.521875,en,4,,,,,,
BP Highway Reopens,BP Highway Reopens,ORG,-0.09375,0.28125,en,3,,,,,,
BNPB,BNPB,ORG,0.2222222222222222,0.5,en,3,,,,,,
HETAUDA,HETAUDA,ORG,0.04833333333333333,0.17500000000000002,en,3,,,,,,
Beni,Beni,ORG,-0.0625,0.3625,en,3,,,,,,
MHP,MHP,ORG,0.0,0.16666666666666666,en,3,,,,,,
Chaukidanda,Chaukidanda,ORG,-0.040625,0.0,en,2,,,,,,
BBC,BBC,ORG,0.025,0.075,en,2,,,,,,
Altinho,Altinho,ORG,-0.030625,0.15666666666666665,en,2,,,,,,
Melissa,Melissa,ORG,0.049999999999999996,0.5,en,2,,,,,,
Melodee Buzzard,Melodee Buzzard,ORG,-0.012500000000000004,0.0125,en,2,,,,,,
Uachtarán na hÉireann,Uachtarán na hÉireann,ORG,0.3258333333333333,0.2683333333333333,en,2,,,,,,
Jalan Teluk Bahang,Jalan Teluk Bahang,ORG,-0.119,0.23125,en,2,,,,,,
Chitwan Police,Chitwan Police,ORG,0.05,0.0,en,2,,,,,,
