,phrase,label,sentiment,subjectivity,language,count
Typhoon Fung-wong,Typhoon Fung-wong,PERSON,-0.10677083333333331,0.4661458333333333,en,12.800000000000002
Yoweri Museveni,Yoweri Museveni,PERSON,0.1371951219512195,0.4715447154471544,en,8.200000000000001
Jalan Tun Sardon,Jalan Tun Sardon,PERSON,0.09935790835181078,0.4928969573786647,en,8.200000000000001
Ace Frehley,Ace Frehley,PERSON,0.2719142645971914,0.9542682926829269,en,8.2
Cyclone Ditwah,Cyclone Ditwah,PERSON,-0.06963470319634701,0.2568493150684931,en,7.300000000000001
José Antonio Kast,José Antonio Kast,PERSON,0.28869936034115135,0.35088841506751955,en,6.7
Donald Trump,Donald Trump,PERSON,0.07027777777777779,0.21375,en,6.0
Samia Suluhu Hassan,Samia Suluhu Hassan,PERSON,0.06271929824561404,1.8018518518518518,en,5.699999999999999
Fleetwood Mac,Fleetwood Mac,PERSON,0.164149008885851,0.7299270904534063,en,3.8
Prabowo Subianto,Prabowo Subianto,PERSON,0.18018018018018017,0.18018018018018017,en,3.6999999999999997
Bukit Baru,Bukit Baru,PERSON,0.2237919737919738,0.6085858585858587,en,3.6999999999999997
Tito Karnavian,Tito Karnavian,PERSON,0.054054054054054064,0.6756756756756758,en,3.6999999999999997
PETALING JAYA,PETALING JAYA,PERSON,0.10135135135135136,0.38851351351351354,en,3.6999999999999997
Stevie Nicks,Stevie Nicks,PERSON,0.10983864620228258,0.40822510822510827,en,3.3
Mikie Sherrill,Mikie Sherrill,PERSON,0.388967803030303,0.8121843434343434,en,3.2
Wang Kelian,Wang Kelian,PERSON,0.07291666666666667,0.2514880952380953,en,2.8
Cameron Highlands,Cameron Highlands,PERSON,0.07142857142857144,0.25892857142857145,en,2.8
Jim Cramer,Jim Cramer,PERSON,0.0,0.17857142857142858,en,2.8
Jeannette Jara,Jeannette Jara,PERSON,0.16071428571428573,0.3928571428571429,en,2.8
GEORGE TOWN,GEORGE TOWN,PERSON,0.0587797619047619,0.5260416666666667,en,2.8
Jeffrey Epstein,Jeffrey Epstein,PERSON,0.03571428571428572,0.28571428571428575,en,2.8
