,Causes,Hazard,Impacts,Adaptation,Mitigation,Invalid
2025-10-02,0.0,0.8,0.8,0.0,0.0,0.0
2025-10-06,0.0,0.9,0.0,0.0,0.0,0.0
2025-10-10,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-11,0.0,0.0,0.0,0.0,0.0,5.9
2025-10-12,0.0,0.0,0.0,0.0,0.0,6.0
2025-10-13,0.0,0.0,0.0,0.0,0.0,12.5
2025-10-14,0.0,0.0,0.0,0.0,0.0,6.4
2025-10-15,0.0,0.9,0.0,0.0,0.0,2.8
2025-10-16,0.0,0.0,0.0,0.0,0.0,5.8
2025-10-17,0.0,0.0,0.0,0.0,0.0,2.8
2025-10-19,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-21,0.0,1.7000000000000002,0.0,0.0,0.0,2.8
2025-10-22,0.0,0.0,0.0,0.0,0.0,2.7
2025-10-23,0.0,0.9,0.0,0.0,0.0,1.9
2025-10-24,0.0,0.9,0.0,0.0,0.0,1.9
2025-10-25,0.0,0.0,0.0,0.9,0.0,8.5
2025-10-26,0.0,0.0,0.9,0.0,0.0,0.9
2025-10-27,0.0,0.0,0.0,0.0,0.0,2.0
2025-10-28,0.7,0.8,0.0,0.0,0.0,1.9
2025-10-29,0.9,0.0,0.0,0.0,0.0,5.5
2025-10-30,0.0,0.0,0.0,0.0,0.0,7.5
2025-10-31,0.0,0.0,0.0,0.0,0.0,12.600000000000001
2025-11-01,0.7,2.6,0.0,0.0,0.0,10.5
2025-11-02,0.0,5.000000000000001,5.8,0.0,0.0,3.8
2025-11-03,0.9,1.7000000000000002,4.1000000000000005,0.0,0.0,5.6000000000000005
2025-11-04,0.0,0.0,0.0,0.0,0.0,1.8
2025-11-05,0.0,0.0,0.0,0.0,0.0,4.6
2025-11-06,0.0,1.8,1.5,0.0,0.0,2.7
2025-11-07,0.0,0.9,0.0,0.0,0.0,2.7
2025-11-08,0.0,0.0,0.8,0.0,0.0,3.6999999999999997
2025-11-09,0.9,1.8,0.0,0.0,0.0,0.0
2025-11-10,1.8,5.300000000000001,0.0,0.0,0.0,2.7
2025-11-11,0.0,3.3,0.9,0.0,0.0,0.0
2025-11-12,0.0,2.7,0.0,0.0,0.0,23.39999999999999
2025-11-13,0.0,2.6,0.0,0.0,0.0,1.8
2025-11-14,0.9,7.000000000000001,0.0,0.0,0.0,0.0
2025-11-15,1.8,0.9,1.8,0.0,0.0,0.0
2025-11-17,2.7,6.1000000000000005,2.7,0.0,0.0,0.0
2025-11-18,0.0,3.6,0.0,0.0,0.0,0.0
2025-11-19,0.0,4.5,0.0,0.0,0.0,0.0
2025-11-20,0.0,5.4,2.7,0.0,0.0,0.0
2025-11-21,0.0,2.7,1.8,0.0,0.0,0.0
2025-11-22,0.0,2.7,0.0,0.0,0.0,1.4
2025-11-23,0.9,1.8,0.0,0.0,0.0,0.0
2025-11-24,1.8,6.1000000000000005,0.0,0.0,0.0,0.0
2025-11-25,0.0,3.4000000000000004,0.0,0.0,0.0,0.0
2025-11-26,0.0,5.0,0.7,0.0,0.0,0.0
2025-11-27,0.0,0.0,2.5,0.0,0.0,1.8
2025-11-28,1.5,7.1000000000000005,0.9,0.0,0.0,0.7
2025-11-29,1.8,1.8,1.8,0.0,0.0,1.4
2025-11-30,0.9,3.6,0.9,0.0,0.0,0.0
2025-12-01,1.8,5.4,1.6,0.0,0.0,0.8
2025-12-02,0.0,1.8,1.8,0.0,0.0,1.4
2025-12-03,0.9,1.6,0.9,0.0,0.0,0.7
2025-12-04,0.0,3.6,0.0,0.0,0.0,0.0
2025-12-05,0.9,5.2,0.9,0.0,0.0,0.7
2025-12-06,0.0,0.9,0.9,0.0,0.0,1.5
2025-12-07,0.9,5.4,2.7,0.0,0.0,0.0
2025-12-08,0.0,2.5,0.0,0.0,0.0,0.0
2025-12-09,0.0,2.7,0.0,0.0,0.0,0.7
2025-12-10,0.0,2.7,0.0,0.0,0.0,0.0
2025-12-11,0.0,1.6,0.0,0.0,0.0,0.7
2025-12-12,0.0,1.8,0.0,0.0,0.0,0.7
2025-12-13,0.0,2.7,0.0,0.0,0.0,0.0
2025-12-14,0.0,6.1000000000000005,0.0,0.0,0.0,0.0
2025-12-15,0.0,2.5,0.0,0.0,0.0,0.7
2025-12-16,0.0,3.6,0.0,0.0,0.0,0.0
2025-12-17,0.0,2.3,0.9,0.0,0.0,0.7
2025-12-18,0.9,0.9,0.9,0.0,0.0,0.0
2025-12-19,0.0,4.1000000000000005,0.0,0.0,0.0,0.0
2025-12-20,0.0,2.7,0.0,0.0,0.0,0.0
2025-12-21,0.0,3.6,0.9,0.0,0.0,0.0
